country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",16-06-2026 12:00,28.2348927,77.8683002,NH3,1,1,1
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",16-06-2026 12:00,28.2348927,77.8683002,CO,2,44,26
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",16-06-2026 12:00,26.766433,80.927299,PM10,53,122,77
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",16-06-2026 12:00,26.86812,81.005119,PM2.5,60,319,145
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",16-06-2026 12:00,26.906111,80.948222,SO2,7,14,10
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",16-06-2026 12:00,26.90723,80.98579,CO,5,18,15
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",16-06-2026 12:00,26.8458805,80.9365541,PM10,20,112,75
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",16-06-2026 12:00,26.8458805,80.9365541,NO2,39,51,42
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",16-06-2026 12:00,26.8458805,80.9365541,CO,3,81,45
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",16-06-2026 12:00,26.8458805,80.9365541,OZONE,1,30,8
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",16-06-2026 12:00,26.83399722,80.8917361,NO2,34,42,36
